all_frac,best_frac,best_match,best_match_dk,entropy,idx,n_matches,top_occurence,w
0.1957924979444481,0.19361501294380426,Foreign affairs,udenrig_ forsvaret _militær,2.374110768044572,0,214002,211622,dag
0.313679178167952,0.38010344827586207,Crime,kriminal_kriminel,1.9873501049267202,3,87000,105423,år
0.184575908318116,0.4874043897572331,Culture,kunst _musik_museum_kulturpol,1.4714469079362515,22,24056,63524,tak
0.4864669271964105,0.9758434469543,Culture,kunst _musik_museum_kulturpol,0.15701771655601865,75,17221,34545,aften
0.14925026491123658,0.31834788531797636,Culture,kunst _musik_museum_kulturpol,1.869001205725733,6,32298,68891,sammen
1.3977849083945761,0.9853338197738052,Culture,kunst _musik_museum_kulturpol,0.10214040895207348,197,13705,9661,fantastisk
1.411125527084009,0.9871794871794872,Culture,kunst _musik_museum_kulturpol,0.07709627546871906,930,8814,6166,musik
0.16217912150598973,0.74521625163827,Culture,kunst _musik_museum_kulturpol,0.8610194389826547,50,3815,17530,første
0.4376128957292404,0.2608070207468357,Foreign affairs,udenrig_ forsvaret _militær,2.078136656127706,1,317687,189334,danmark
1.0981060606060606,0.8180599647266313,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,0.706172336158836,459,14175,10560,mad
0.1374661425982119,0.4260556712743799,Culture,kunst _musik_museum_kulturpol,1.6186589059538483,18,15843,49103,gode
0.005834954153931648,0.20192307692307693,Culture,kunst _musik_museum_kulturpol,2.3591187931964477,79,624,21594,måske
0.06479812545061284,0.36377434859600305,Immigration,indvandr_flygt_udlænding,1.6692203278744846,30,3953,22192,igen
0.08684782608695653,0.48394912174439736,Culture,kunst _musik_museum_kulturpol,1.4493337369928403,348,1651,9200,tillykke
0.03982169390787518,0.37960339943342775,Foreign affairs,udenrig_ forsvaret _militær,1.5559877714405952,131,706,6730,stort
1.3372146118721462,0.8859476629859325,Culture,kunst _musik_museum_kulturpol,0.4322649977030584,1262,6611,4380,film
1.3111954459203037,0.96823914058851,Culture,kunst _musik_museum_kulturpol,0.21273659034102113,1629,4282,3162,festival
1.2820450097847358,0.9685825170948069,Culture,kunst _musik_museum_kulturpol,0.15642774114527186,1898,5411,4088,teater
0.03762704304329818,0.351697438951757,Foreign affairs,udenrig_ forsvaret _militær,1.8022608173466659,39,3358,31387,siden
0.10534658447603472,0.2674374041900869,Culture,kunst _musik_museum_kulturpol,2.052199033549683,5,15656,39745,går
0.038135955536554085,0.6380543633762518,Culture,kunst _musik_museum_kulturpol,1.2000071003385149,104,699,11695,glæder
0.08564278431736028,0.5762993762993763,Culture,kunst _musik_museum_kulturpol,1.536564670133852,21,4810,32367,gang
0.018088891115899182,0.38486140724946694,Culture,kunst _musik_museum_kulturpol,2.0331994390916193,45,938,19957,sidste
0.26422689844464775,0.6614750343563903,Culture,kunst _musik_museum_kulturpol,1.1058933113634244,947,2183,5465,jul
0.036779324055666,0.46835443037974683,Culture,kunst _musik_museum_kulturpol,1.4936335668625373,125,395,5030,altid
0.1660602050942772,0.46395563770794823,Culture,kunst _musik_museum_kulturpol,1.2572270436962354,1580,1082,3023,glædelig
0.11091765669807456,0.6400709219858156,Culture,kunst _musik_museum_kulturpol,1.2066767541120265,63,1692,9764,tale
0.25272067714631197,0.7946768060836502,Culture,kunst _musik_museum_kulturpol,0.8802128222390918,1972,789,2481,bogen
1.028081865778201,0.8776919951239334,Culture,kunst _musik_museum_kulturpol,0.6501526860633894,1186,2461,2101,roskilde
2.6666666666666665,1.0,Culture,kunst _musik_museum_kulturpol,0.0,3382,144,54,sange
0.03841854688470296,0.5832809553739786,Culture,kunst _musik_museum_kulturpol,1.37829046469303,66,1591,24155,kl
0.13995917857291623,0.4080145719489982,Culture,kunst _musik_museum_kulturpol,1.7946890428687317,71,8235,24007,københavn
0.2649532585112367,0.23003087155456592,EU, EU _ eu,2.2269350915813013,2,172003,149332,__url__
0.22437673130193905,0.9878048780487805,Culture,kunst _musik_museum_kulturpol,0.06586093594147825,750,82,361,lørdag
0.025674196437456463,0.659846547314578,Culture,kunst _musik_museum_kulturpol,1.2183898706066076,83,782,20098,morgen
0.3850210970464135,0.9057071960297767,Culture,kunst _musik_museum_kulturpol,0.47093200524398265,1293,1209,2844,folkemødet
0.05466564963132469,0.6005586592178771,Culture,kunst _musik_museum_kulturpol,0.9874283625984217,329,716,7866,forbi
0.016637285147642133,0.5592592592592592,Culture,kunst _musik_museum_kulturpol,1.3984049281991795,200,270,9076,dagen
0.9654255319148937,0.968,Culture,kunst _musik_museum_kulturpol,0.14162706960881927,762,375,376,dejlig
0.210412147505423,0.7238805970149254,Culture,kunst _musik_museum_kulturpol,0.7334063945936384,1344,134,461,fejre
0.24880611270296085,0.5675381263616558,Crime,kriminal_kriminel,1.0451581130430363,375,918,2094,års
1.32913870246085,0.9715862632869992,Culture,kunst _musik_museum_kulturpol,0.1745687418733338,1674,4892,3576,kunst
0.7522216414009409,0.7528775723753052,Culture,kunst _musik_museum_kulturpol,0.8664769484805632,420,5734,5739,kultur
0.22544696161622593,0.2738806691809303,Immigration,indvandr_flygt_udlænding,2.0128166752597867,12,51705,62813,dansk
0.007231638418079096,0.5714285714285714,Religion, religi_ værdipol,1.3521037275991663,243,56,4425,kære
1.169467787114846,0.9305349182763745,Culture,kunst _musik_museum_kulturpol,0.3385299754145355,2172,2692,2142,filmen
0.30523731587561376,0.8376644209175489,Foreign affairs,udenrig_ forsvaret _militær,0.50541929983857,226,3117,8554,the
0.49144550720732855,0.48962335374549115,Economy, økonom_ vækst,1.6546746566123876,10,59605,59384,nye
0.22458628841607564,0.7364341085271318,Culture,kunst _musik_museum_kulturpol,0.8275072903235762,542,129,423,holdt
0.1749002761583308,0.5876288659793815,Environment, klima_ miljø _ naturen ,1.4732602282752147,696,970,3259,christian
0.2962962962962963,0.975609756097561,Culture,kunst _musik_museum_kulturpol,0.11466528220290656,1998,41,135,fødselsdag
0.02259527408703954,0.3242009132420091,Education,undervis_folkeskole_ungdomsuddan,1.7214136565590605,40,876,12569,rigtig
0.27449414270500533,0.5743732590529248,Economy, økonom_ vækst,1.0532291158395257,901,1795,3756,bornholm
0.40066857688634194,0.6782538399353274,Culture,kunst _musik_museum_kulturpol,1.2042376446348453,2804,1237,2094,bertel
0.2086282440175261,0.7404306220095693,Culture,kunst _musik_museum_kulturpol,1.0390368692574585,1264,836,2967,bog
0.023969101442689992,0.3767857142857143,Foreign affairs,udenrig_ forsvaret _militær,1.88308296102596,561,560,8803,jensen
