kofod,4457,0,156
tryk,3085,0,105
alvorlig,1553,1,69
østerbro,3692,0,7
ryger,2563,0,219
overholder,4200,1,19
hurtigt,631,0,775
mai,2171,0,2771
straks,1652,0,23
københavnske,2058,0,715
farligt,3435,1,9
afgørelse,4497,1,13
københavnerne,4354,0,120
brudt,3028,1,8
brian,1906,1,1988
smidt,2648,1,50
alkohol,4211,1,199
erstatning,3158,1,334
uden,34,1,8038
regler,418,1,5951
klage,3704,0,49
task,8045,0,8
strid,3924,1,57
amager,2496,1,1684
